title|[[60.0, 352.0], [65.0, 408.0]]
title|[[373.0, 240.0], [383.0, 456.0]]|[[553.0, 238.0], [565.0, 392.0]]
title|[[247.0, 177.0], [256.0, 249.0]]
title|[[43.0, 41.0], [49.0, 59.0]]
title|[[32.0, 354.0], [41.0, 410.0]]
title|[[340.0, 18.0], [354.0, 108.0]]
title|[[257.0, 183.0], [270.0, 393.0]]
title|[[362.0, 234.0], [372.0, 289.0]]
other|[[24.0, 445.0], [60.0, 467.0]]
title|[[43.0, 108.0], [50.0, 154.0]]
other|[[688.0, 46.0], [738.0, 87.0]]
other|[[287.0, 411.0], [321.0, 463.0]]
title|[[518.0, 17.0], [531.0, 122.0]]
title|[[41.0, 353.0], [51.0, 443.0]]
title|[[542.0, 232.0], [552.0, 284.0]]|[[678.0, 16.0], [686.0, 80.0]]
title|[[26.0, 43.0], [40.0, 155.0]]
title|[[56.0, 21.0], [70.0, 170.0]]
other|[[29.0, 179.0], [234.0, 346.0]]
title|[[76.0, 99.0], [81.0, 152.0]]
other|[[234.0, 179.0], [243.0, 345.0]]
other|[[234.0, 179.0], [243.0, 345.0]]
